Type,Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,1999,51,4430143,1.15,1.15722772
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2000,34,4451687,0.76,0.76222845
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2001,41,4467634,0.92,0.926071313
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2002,45,4480089,1,0.997164737
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2003,38,4503491,0.84,0.82537211
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2004,31,4530729,0.68,0.689063708
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2005,37,4569805,0.81,0.795037354
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2006,37,4628981,0.8,0.794516544
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2007,24,4672840,0.51,0.524979731
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2008,32,4718206,0.68,0.685574104
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2009,28,4757938,0.59,0.58715909
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2010,35,4780135,0.73,0.757673881
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2011,25,4798649,0.52,0.519361411
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2012,14,4813946,0.29,0.260749437
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2013,25,4827660,0.52,0.529779291
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2014,29,4840037,0.6,0.624396769
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2015,20,4850858,0.41,0.415876691
Unitentional,Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Unintentional Firearm,2016,21,4860545,0.43,0.418854334
