"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","296","4430143","6.68","6.6190516498246"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","296","4451687","6.65","6.61774611872166"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","302","4467634","6.76","6.76891609290988"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","292","4480089","6.52","6.506214921523"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","323","4503491","7.17","7.18473313733579"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","264","4530729","5.83","5.90925993043137"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","324","4569805","7.09","7.2379048485015"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","335","4628981","7.24","7.31705016893641"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","379","4672840","8.11","8.26661143773078"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","350","4718206","7.42","7.61077866595107"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","318","4757938","6.68","6.86263899937855"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","284","4780135","5.94","5.98777763837888"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","293","4798649","6.11","6.22309948725072"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","308","4813946","6.4","6.5799713439111"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","324","4827660","6.71","7.02034310302341"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","298","4840037","6.16","6.49783089038739"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","396","4850858","8.16","8.55571191823123"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","466","4860545","9.59","10.1025457580272"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","514","4874747","10.54","11.09018299851"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","6362","88858120","7.16","."
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","28","624781","4.48","4.66581801623914"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","17","627428","2.71","2.54775558295071"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","25","633714","3.94","3.80729868929213"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","28","642337","4.36","4.12380667294174"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","32","648414","4.94","4.62213349960372"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","21","659286","3.19","3.03448879792922"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","24","666946","3.6","3.27936287747836"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","28","675302","4.15","4.04128988977206"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","25","680300","3.67","3.51228571176097"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","18","687455","2.62","2.67492602241786"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","19","698895","2.72","2.97763081645633"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","31","710249","4.36","4.28853714115308"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","20","722259","2.77","2.57953217755596"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","20","730825","2.74","2.60957328382314"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","19","736760","2.58","2.27886994107429"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","21","736759","2.85","2.62318967100505"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","44","737979","5.96","5.55304884740315"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","51","741522","6.88","7.00098615160402"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","51","739795","6.89","7.0162634031884"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","522","13101006","3.98","."
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","320","5023824","6.37","6.19632404642582"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","282","5166810","5.46","5.38467606398272"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","345","5273477","6.54","6.37106785300842"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","370","5396255","6.86","6.77573162374077"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","336","5510364","6.1","5.9165291998108"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","360","5652404","6.37","6.27646013015434"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","384","5839077","6.58","6.56062967575455"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","396","6029141","6.57","6.57370331260676"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","368","6167681","5.97","5.94670336902268"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","342","6280362","5.45","5.51270324606802"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","235","6343154","3.7","3.79701750345104"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","283","6392309","4.43","4.54953710279499"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","271","6465488","4.19","4.2804047701296"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","267","6544211","4.08","4.18398917608099"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","264","6616124","3.99","4.03907176740271"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","224","6706435","3.34","3.50545266413197"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","250","6802262","3.68","3.78272132427536"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","316","6908642","4.57","4.75003295854196"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","314","7016270","4.48","4.65685318556759"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","5927","116134290","5.1","."
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","123","2651860","4.64","4.71805540137749"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","144","2678217","5.38","5.36169832125489"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","116","2691571","4.31","4.35304361087097"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","149","2705927","5.51","5.58129795585752"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","132","2724816","4.84","4.88398631172806"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","147","2749686","5.35","5.42643898268787"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","156","2781097","5.61","5.59583816466616"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","157","2821761","5.56","5.64910109631967"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","156","2848650","5.48","5.7261057551218"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","145","2874554","5.04","5.38883153789237"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","159","2896843","5.49","5.70162416149366"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","134","2916031","4.6","4.76100707699938"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","149","2938640","5.07","5.33647415222778"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","171","2949208","5.8","6.04267575225059"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","154","2956780","5.21","5.36846982859062"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","161","2964800","5.43","5.7246331730669"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","158","2975626","5.31","5.45138425568721"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","188","2988231","6.29","6.5768396990152"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","198","3004279","6.59","7.01121074809072"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","2897","54118577","5.35","."
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","1444","33499204","4.31","4.16626888893093"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","1545","33998767","4.54","4.36717464353543"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","1647","34479458","4.78","4.56321277403425"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","1860","34871843","5.33","5.08315718987136"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","1862","35253159","5.28","5.05377791395525"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","1884","35574576","5.3","5.06360666455661"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","1963","35827943","5.48","5.23982194608961"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","1970","36021202","5.47","5.21317192288061"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","1781","36250311","4.91","4.70659271085268"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","1639","36604337","4.48","4.3053925042482"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","1527","36961229","4.13","3.97355090750694"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","1406","37254518","3.77","3.63955362061366"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","1397","37672654","3.71","3.58828152688787"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","1474","38019006","3.88","3.78597666631558"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","1409","38347383","3.67","3.60514131531531"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","1322","38701278","3.42","3.36735206592971"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","1499","39032444","3.84","3.79223047100675"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","1541","39296476","3.92","3.87099661235828"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","1521","39536653","3.85","3.84888737763972"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","30691","697202441","4.4","."
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","127","4226018","3.01","2.84933365669179"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","87","4327788","2.01","1.92843986796632"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","105","4425687","2.37","2.24831738256944"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","125","4490406","2.78","2.67928148319743"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","127","4528732","2.8","2.71763743576515"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","142","4575013","3.1","3.00624387346841"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","125","4631888","2.7","2.61514976548813"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","112","4720423","2.37","2.28703540702776"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","97","4803868","2.02","1.95971369001282"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","114","4889730","2.33","2.25582745653353"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","116","4972195","2.33","2.3178990752529"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","114","5029325","2.27","2.23587888205043"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","113","5116411","2.21","2.20641341217839"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","121","5186330","2.33","2.29056539022021"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","114","5262556","2.17","2.16599046294257"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","112","5342311","2.1","2.08921857402811"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","149","5440445","2.74","2.70671334463601"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","180","5530105","3.25","3.25281773894728"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","179","5607154","3.19","3.15903799665418"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","2359","93106385","2.53","."
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","86","3386401","2.54","2.68532468299686"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","61","3411714","1.79","1.93073709150388"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","72","3432835","2.1","2.24328352763014"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","58","3458749","1.68","1.82990926385033"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","56","3484336","1.61","1.72121027672578"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","65","3496094","1.86","1.99877768995035"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","66","3506956","1.88","2.0506689015681"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","92","3517460","2.62","2.79667886763141"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","67","3527270","1.9","1.99155840087403"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","88","3545579","2.48","2.6583551996631"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","78","3561807","2.19","2.36765790028886"
