"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","1999","51","4430143","1.15","1.15722772035721"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2000","34","4451687","0.76","0.76222845021681"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2001","41","4467634","0.92","0.92607131288844"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2002","45","4480089","1","0.99716473724242"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2003","38","4503491","0.84","0.82537211037995"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2004","31","4530729","0.68","0.6890637084596"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2005","37","4569805","0.81","0.79503735435374"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2006","37","4628981","0.8","0.79451654422656"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2007","24","4672840","0.51","0.5249797309787"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2008","32","4718206","0.68","0.6855741040383"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2009","28","4757938","0.59","0.58715908963616"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2010","35","4780135","0.73","0.75767388066721"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2011","25","4798649","0.52","0.51936141106152"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2012","14","4813946","0.29","0.26074943652591"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2013","25","4827660","0.52","0.5297792913071"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2014","29","4840037","0.6","0.62439676852264"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2015","20","4850858","0.41","0.41587669114081"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2016","21","4860545","0.43","0.41885433372402"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","2017","21","4874747","0.43","0.43672384843428"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Unintentional Firearm","","588","88858120","0.66","."
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Unintentional Firearm","1999","P","624781",".","."
