"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","1999","435","4430143","9.82","9.74202620877291"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2000","427","4451687","9.59","9.53140587819837"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2001","387","4467634","8.66","8.56228200488964"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2002","381","4480089","8.5","8.44166895084921"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2003","399","4503491","8.86","8.67211986551018"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2004","375","4530729","8.28","8.00336762522054"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2005","369","4569805","8.07","7.82464569972629"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2006","400","4628981","8.64","8.41790112360341"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2007","396","4672840","8.47","8.16546062800804"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2008","424","4718206","8.99","8.73915750755416"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2009","479","4757938","10.07","9.63030247416508"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2010","454","4780135","9.5","9.24036797014442"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2011","452","4798649","9.42","8.95696614207848"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2012","500","4813946","10.39","9.98209200282085"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2013","504","4827660","10.44","9.82714495306458"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2014","479","4840037","9.9","9.52750531182611"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2015","528","4850858","10.88","10.3684991933556"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2016","550","4860545","11.32","10.7066418184612"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","2017","573","4874747","11.75","11.0065399077739"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Firearm","","8512","88858120","9.58","."
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","1999","55","624781","8.8","10.5167021786832"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2000","96","627428","15.3","14.9396250632798"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2001","65","633714","10.26","10.3064133250167"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2002","92","642337","14.32","14.7925260923073"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2003","79","648414","12.18","13.1957073439721"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2004","94","659286","14.26","14.1853504000998"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2005","87","666946","13.04","13.4275284393116"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2006","79","675302","11.7","12.0554794223573"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2007","94","680300","13.82","14.5714845330331"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2008","116","687455","16.87","17.1181621968407"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2009","79","698895","11.3","10.9294589374655"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2010","107","710249","15.07","15.4329723359524"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2011","99","722259","13.71","13.5011433220679"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2012","98","730825","13.41","13.2688447129729"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2013","120","736760","16.29","16.6457029969845"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Firearm","2014","115","736759","15.61","15.3185371865641"
